fixture,partition,drift_baseline_to_f20off,drift_baseline_to_f20off_at,drift_baseline_to_armA,drift_baseline_to_armA_at,dist_baseline_to_lqsim,dist_f20off_to_lqsim,direction,closer_cells,further_cells
C1_fanOut2_caller_c2,C1,0.008753400112003776,ES2.qlen,-inf,.,-inf,-inf,no-drift,0,0
C1_fanOut3_caller_c1,C1,0.007637226303551852,ES3.qlen,-inf,.,-inf,-inf,no-drift,0,0
C1_fanOut3_caller_c2,C1,0.007637226303551852,ES3.qlen,-inf,.,-inf,-inf,no-drift,0,0
C1_fanOut4_caller_c1,C1,0.0044213572419087195,ES4.qlen,-inf,.,-inf,-inf,no-drift,0,0
C1_fanOut4_caller_c2,C1,0.0044213572419087195,ES4.qlen,-inf,.,-inf,-inf,no-drift,0,0
C2_infTaskDeep,C2,0.008332070085874017,E4.tput,-inf,.,-inf,-inf,no-drift,0,0
C2_infTaskShared,C2,0.010073462690523043,ER1.tput,-inf,.,-inf,-inf,no-drift,0,0
C2_infTaskSimple,C2,0.0040674097561573825,A1.qlen,-inf,.,-inf,-inf,no-drift,0,0
C3_multiclassMultiEntry_2refs,C3,0.04397755476790598,ER2.qlen,-inf,.,-inf,-inf,no-drift,0,0
C3_multiclassMultiEntry_3refs,C3,0.00927617957170648,ER3.respt,-inf,.,-inf,-inf,no-drift,0,0
C3_multiclassMultiEntry_asymmetric,C3,0.15844361846718164,AS1.residt,-inf,.,-inf,-inf,no-drift,0,0
C4_lowDemand,C4,0.2821085271277981,E1.respt,-inf,.,-inf,-inf,no-drift,0,0
C4_nearSaturation,C4,0.004076204125282703,E1.tput,-inf,.,-inf,-inf,no-drift,0,0
C4_predicateThreshold,C4,0.005235602006493754,E1.qlen,-inf,.,-inf,-inf,no-drift,0,0
C5_satFanoutCaller_w2,?,0.07430266221159902,ES1.qlen,-inf,.,-inf,-inf,no-drift,0,0
C5_satFanoutCaller_w3,?,0.023341931745916263,AS2.qlen,-inf,.,-inf,-inf,no-drift,0,0
C5_satFanoutCaller_w4,?,0.006014175618119535,AS2.residt,-inf,.,-inf,-inf,no-drift,0,0
C5_satFanout_tasks10,?,0.013936418644903574,AS8.residt,-inf,.,-inf,-inf,no-drift,0,0
C5_satFanout_tasks20,?,0.0036365606543698977,AS1.tput,-inf,.,-inf,-inf,no-drift,0,0
C5_satFanout_tasks5,?,0.034069847452217514,E3.qlen,-inf,.,-inf,-inf,no-drift,0,0
C6_andForkPsHost,?,0.01303552751444952,E1.qlen,-inf,.,-inf,-inf,no-drift,0,0
C6_multiclassAndFork,C6,0.012463026897843198,A2.qlen,-inf,.,-inf,-inf,no-drift,0,0
C7_deepChainAllExp,?,0.02581946467643136,A4.qlen,-inf,.,-inf,-inf,no-drift,0,0
C7_deepChainMultiCall,?,0.06371693899614846,A2.residt,-inf,.,-inf,-inf,no-drift,0,0
