fixture_name,partition,condition,solver,node_name,node_type,server_count,qlen,util,respt,residt,tput
A1_chain_d5_N50,A1,f20off,LN,E5,Entry,1,47.78319563497766,NaN,9.556656093519223,NaN,4.999991123190201
A1_chain_d5_N50,A1,f20off,LN,AS1,Activity,1,47.29066034107725,0.0,9.750003125578615,0.0,4.85032258266797
A1_chain_d5_N50,A1,f20off,LN,AS2,Activity,1,47.09294128149283,0.0,9.68164753234681,0.0,4.864145397170599
A1_chain_d5_N50,A1,f20off,LN,AS3,Activity,1,47.05267843718164,0.0,9.626963486834505,0.0,4.887592905232187
A1_chain_d5_N50,A1,f20off,LN,AS4,Activity,1,47.113062081941536,0.0,9.585950746648493,0.0,4.914803270652474
A1_chain_d5_N50,A1,f20off,LN,AS5,Activity,1,47.636722513480585,0.99999822463804,9.527361417211157,9.556656093519223,4.9999911231902
A1_chain_d5_N100,A1,f20off,LN,P1,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d5_N100,A1,f20off,LN,P2,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d5_N100,A1,f20off,LN,P3,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d5_N100,A1,f20off,LN,P4,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d5_N100,A1,f20off,LN,P5,Processor,1,NaN,1.000000027257493,NaN,NaN,NaN
A1_chain_d5_N100,A1,f20off,LN,T1,RefTask,1,100.23603409004451,0.0,NaN,0.0,5.035405688455604
A1_chain_d5_N100,A1,f20off,LN,T2,Task,1,98.48661235498865,0.0,NaN,0.0,4.967016386018906
A1_chain_d5_N100,A1,f20off,LN,T3,Task,1,97.63445102614745,0.0,NaN,0.0,4.943516906050296
A1_chain_d5_N100,A1,f20off,LN,T4,Task,1,97.32470696983346,0.0,NaN,0.0,4.944949200448551
A1_chain_d5_N100,A1,f20off,LN,T5,Task,1,98.13476389025828,1.000000027257493,NaN,19.626952243070143,5.000000136287465
A1_chain_d5_N100,A1,f20off,LN,E1,Entry,1,100.23603409004451,NaN,19.90624793546429,NaN,5.035405688455604
A1_chain_d5_N100,A1,f20off,LN,E2,Entry,1,98.48661235498865,NaN,19.82812310267538,NaN,4.967016386018906
A1_chain_d5_N100,A1,f20off,LN,E3,Entry,1,97.63445102614745,NaN,19.749998408350564,NaN,4.943516906050296
A1_chain_d5_N100,A1,f20off,LN,E4,Entry,1,97.32470696983346,NaN,19.681639390957795,NaN,4.944949200448551
A1_chain_d5_N100,A1,f20off,LN,E5,Entry,1,98.13476389025828,NaN,19.626952243070143,NaN,5.000000136287465
A1_chain_d5_N100,A1,f20off,LN,AS1,Activity,1,100.23603414621938,0.0,19.906247946620258,0.0,5.035405688455606
A1_chain_d5_N100,A1,f20off,LN,AS2,Activity,1,98.48661241047961,0.0,19.828123113847266,0.0,4.967016386018908
A1_chain_d5_N100,A1,f20off,LN,AS3,Activity,1,97.63445108140343,0.0,19.74999841952802,0.0,4.943516906050298
A1_chain_d5_N100,A1,f20off,LN,AS4,Activity,1,97.32470702510373,0.0,19.68163940213491,0.0,4.944949200448552
A1_chain_d5_N100,A1,f20off,LN,AS5,Activity,1,97.86132796065974,1.000000027257493,19.572265058641072,19.626952243070143,5.000000136287464
A1_chain_d8_N50,A1,f20off,LN,P1,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d8_N50,A1,f20off,LN,P2,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d8_N50,A1,f20off,LN,P3,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d8_N50,A1,f20off,LN,P4,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d8_N50,A1,f20off,LN,P5,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d8_N50,A1,f20off,LN,P6,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d8_N50,A1,f20off,LN,P7,Processor,1,NaN,0.0,NaN,NaN,NaN
