fixture_name,partition,condition,sim_iters,sim_time_ms,ln_iters,ln_time_ms,lqns_iters,lqns_time_ms,sim_vs_ln_max_rel_diff,sim_vs_lqns_max_rel_diff,matches_within_tol,notes
A3_multiserver_c8_loadLow,A3,f17_f24off,3,23,53,595,6,39,9.991293521755557E-9,Infinity,match-ln,
C2_infTaskShared,C2,f17_f24off,2,34,53,1466,2,38,2.3028322668378117E-8,Infinity,match-ln,
C2_infTaskSimple,C2,f17_f24off,2,16,53,465,2,33,1.4814814737485247E-8,Infinity,match-ln,
B_scaleAxis_tasks10_fanout,B,f17_f24off,10,193,53,8281,7,86,0.4661943123010325,Infinity,match-neither,
A1_chain_d5_N100,A1,f17_f24off,3,41,53,3893,50,57,1.7228200366711692E-7,Infinity,match-ln,
A2_multiclassA_2refs_loadHigh_N20,A2,f17_f24off,2,46,53,1375,10,32,4.1387690706106725E-5,Infinity,match-ln,
A2_multiclassA_2refs_loadHigh_N50,A2,f17_f24off,2,22,53,1202,10,28,1.3964118037485343E-4,Infinity,match-ln,
C4_lowDemand,C4,f17_f24off,3,11,53,381,6,34,1.5234253431667415E-7,Infinity,match-ln,
C3_multiclassMultiEntry_asymmetric,C3,f17_f24off,2,23,53,1176,10,33,0.0031854540870217365,Infinity,match-ln,
C2_infTaskDeep,C2,f17_f24off,3,22,53,1992,2,36,4.6306999344064256E-8,Infinity,match-ln,
C5_satFanout_tasks10,C5,f17_f24off,11,156,85,17993,12,139,0.4675063808582269,Infinity,match-neither,
C5_satFanout_tasks20,C5,f17_f24off,10,726,81,30429,7,581,0.6054241421406608,Infinity,match-neither,
C5_satFanoutCaller_w2,C5,f17_f24off,18,26,62,2986,26,28,0.5461559963276738,Infinity,match-neither,
C5_satFanoutCaller_w3,C5,f17_f24off,18,34,65,5276,29,35,0.5159597384104402,Infinity,match-neither,
C5_satFanoutCaller_w4,C5,f17_f24off,21,47,74,7897,31,42,0.44280151936520484,Infinity,match-neither,
A4_retryLoop,A4,f17_f24off,4,19,53,758,10,42,8.492578803253991E-8,Infinity,match-ln,
A2_multiclassB_2refs_demands_5to1_N20,A2,f17_f24off,2,24,53,1210,9,37,0.001779978209858555,Infinity,match-ln,
A2_multiclassB_2refs_demands_5to1_N50,A2,f17_f24off,2,33,53,990,10,30,4.958272541139544E-4,Infinity,match-ln,
A4_chainPlusFanout,A4,f17_f24off,6,30,53,3183,9,36,0.047621191697856,Infinity,match-ln,
C6_andForkPsHost,C6,f17_f24off,3,210,53,13926,50,56,0.36167077270887615,Infinity,match-neither,
A3_multiserver_c8_loadHigh,A3,f17_f24off,3,11,53,490,8,35,1.6710729481066138E-8,Infinity,match-ln,
C6_multiclassAndFork,C6,f17_f24off,2,593,53,35396,8,46,1.0761322450827713,Infinity,match-neither,
A4_threeTier_sequence,A4,f17_f24off,4,28,53,856,6,37,0.039781102447431146,Infinity,match-ln,
A4_parallelService_andFork,A4,f17_f24off,2,175,53,9534,8,28,4.37719490573342E-4,Infinity,match-ln,
A3_multiserver_c2_loadMedium,A3,f17_f24off,3,9,53,302,7,26,6.973386617755015E-9,Infinity,match-ln,
A5_orForkUneven,A5,f17_f24off,3,12,53,341,,,2.001111264858365E-8,,match-ln,LQNS unavailable: RuntimeException: Remote solver returned error: /tmp/lqns-rest/model_9b3b3962.lqnx:19: error: Task \
A2_multiclassB_2refs_demands_3to1_N20,A2,f17_f24off,2,18,53,799,9,26,0.001359531198530082,Infinity,match-ln,
A2_multiclassB_2refs_demands_3to1_N50,A2,f17_f24off,2,13,53,865,10,25,4.6846225916296334E-4,Infinity,match-ln,
B_scaleAxis_tasks5_chain,B,f17_f24off,3,22,53,2640,14,28,2.0970642853838956E-5,Infinity,match-ln,
