fixture_name,partition,condition,sim_iters,sim_time_ms,ln_iters,ln_time_ms,lqns_iters,lqns_time_ms,sim_vs_ln_max_rel_diff,sim_vs_lqns_max_rel_diff,matches_within_tol,notes
A3_multiserver_c8_loadLow,A3,f20off,3,16,11,187,6,38,0.00582334445957557,Infinity,match-ln,
C2_infTaskShared,C2,f20off,2,27,8,307,2,41,0.009972994668301764,Infinity,match-ln,
C2_infTaskSimple,C2,f20off,2,15,9,139,2,39,0.004050932688492271,Infinity,match-ln,
B_scaleAxis_tasks10_fanout,B,f20off,10,185,20,4082,7,96,0.46596183249785894,Infinity,match-neither,
A1_chain_d5_N100,A1,f20off,3,49,11,869,50,48,0.027295913785138286,Infinity,match-ln,
A2_multiclassA_2refs_loadHigh_N20,A2,f20off,2,43,6,208,10,37,0.11214813562043253,Infinity,match-neither,
A2_multiclassA_2refs_loadHigh_N50,A2,f20off,2,23,5,153,10,37,0.2425566857578612,Infinity,match-neither,
C4_lowDemand,C4,f20off,3,14,9,104,6,32,0.22003494219250544,Infinity,match-neither,
C3_multiclassMultiEntry_asymmetric,C3,f20off,2,20,16,325,10,29,0.13402306500301925,Infinity,match-neither,
C2_infTaskDeep,C2,f20off,3,23,13,548,2,27,0.008263180406543495,Infinity,match-ln,
C5_satFanout_tasks10,C5,f20off,11,141,62,12969,12,109,0.4675956060639774,Infinity,match-neither,
C5_satFanout_tasks20,C5,f20off,10,506,22,11030,7,387,0.605258312751132,Infinity,match-neither,
C5_satFanoutCaller_w2,C5,f20off,18,33,41,2280,26,26,0.452093951540234,Infinity,match-neither,
C5_satFanoutCaller_w3,C5,f20off,18,29,51,3437,29,29,0.4813814340863295,Infinity,match-neither,
C5_satFanoutCaller_w4,C5,f20off,21,43,62,5720,31,47,0.4382957127703193,Infinity,match-neither,
A4_retryLoop,A4,f20off,4,21,17,273,10,28,0.0033023310017926263,Infinity,match-ln,
A2_multiclassB_2refs_demands_5to1_N20,A2,f20off,2,17,22,439,9,26,0.021492800633879195,Infinity,match-ln,
